PRECIPITACAO_TOTAL;PRESSAO_ATMOSFERICA_NIVEL_ESTACAO;PRESSAO_ATMOSFERICA_MAX_HORA_ANT;PRESSAO_ATMOSFERICA_MIN_HORA_ANT;RADIACAO;TEMPERATURA_AR;TEMPERATURA_PONTO_ORVALHO;TEMPERATURA_MAXIMA_HORA_ANT;TEMPERATURA_MINIMA_HORA_ANT;TEMPERATURA_ORVALHO_MAX_HORA_ANT;TEMPERATURA_ORVALHO_MIN_HORA_ANT;UMIDADE_REL_MAX_HORA_ANT;UMIDADE_REL_MIN_HORA_ANT;UMIDADE_RELATIVA_AR_HORARIA;VENTO_DIRECAO_HORARIA;VENTO_RAJADA_MAXIMA;VENTO_VELOCIDADE_HORARIA;DATA_HORA
0.0;931.1;931.1;930.4;7.9;21.6;19.7;22.0;21.6;20.3;19.7;90;88;89;299;1.6;0.0;1704099600.0
0.0;931.5;931.6;931.1;298.6;22.5;20.1;22.5;21.5;20.2;19.7;90;86;86;326;1.1;0.2;1704103200.0
0.0;931.7;931.7;931.5;1260.7;24.8;19.5;25.1;22.5;20.5;19.5;86;72;72;347;2.5;0.9;1704106800.0
0.0;932.3;932.3;931.7;1657.8;26.1;19.9;26.5;25.3;20.8;19.1;74;66;69;316;3.8;1.0;1704110400.0
0.0;932.3;932.5;932.3;2228.9;28.2;20.5;28.2;26.1;20.7;18.9;70;58;63;323;4.2;2.0;1704114000.0
0.0;931.5;932.3;931.5;2714.8;28.8;19.1;28.8;27.5;21.4;17.7;65;53;56;282;5.0;1.1;1704117600.0
0.0;930.9;931.5;930.9;2040.7;28.6;19.3;28.8;27.9;20.5;18.3;62;54;57;244;5.6;1.3;1704121200.0
0.0;929.9;930.9;929.9;2006.9;29.3;17.8;29.7;28.2;20.3;17.6;60;49;50;259;4.2;0.8;1704124800.0
0.0;928.6;929.9;928.6;3282.0;31.2;18.8;31.2;29.3;19.9;16.2;55;43;48;251;3.7;1.1;1704128400.0
0.0;927.4;928.6;927.4;2122.0;30.0;19.5;31.3;29.5;19.6;16.2;55;42;53;185;3.9;1.4;1704132000.0
0.0;927.2;927.4;927.2;1138.2;29.0;19.8;30.2;29.0;19.9;18.5;58;50;58;117;4.1;1.1;1704135600.0
0.0;926.7;927.2;926.7;483.3;28.8;18.7;29.1;28.5;19.9;18.6;59;54;55;103;2.6;1.1;1704139200.0
0.0;927.1;927.1;926.6;188.7;26.7;19.9;28.8;26.7;20.6;18.8;67;55;67;284;3.6;0.6;1704142800.0
0.2;928.0;928.0;927.1;38.9;23.8;21.0;26.7;23.8;21.1;19.8;85;67;84;270;4.8;0.6;1704146400.0
0.0;930.0;930.1;929.3;5.8;20.9;19.7;20.9;20.6;19.8;19.5;93;93;93;268;1.4;0.1;1704186000.0
0.0;930.0;930.2;930.0;173.8;21.2;20.1;21.3;20.8;20.1;19.7;93;93;93;347;2.2;0.5;1704189600.0
0.0;930.2;930.2;929.9;883.5;22.8;20.6;23.1;21.2;21.5;20.0;93;87;87;330;2.4;0.8;1704193200.0
0.0;930.3;930.4;930.2;1157.2;24.4;20.5;24.4;22.7;21.2;19.8;87;77;79;325;3.4;1.3;1704196800.0
0.0;930.4;930.5;930.3;1862.7;26.8;20.7;26.8;24.4;21.9;19.5;79;67;69;324;3.4;1.1;1704200400.0
0.0;930.0;930.4;930.0;1700.2;27.4;20.9;27.4;26.6;21.1;19.5;70;64;67;301;4.0;1.0;1704204000.0
0.0;929.0;930.0;929.0;2316.1;28.4;19.7;29.1;27.1;21.6;19.6;68;58;59;260;4.2;1.4;1704207600.0
0.0;928.2;929.0;928.2;2605.9;28.5;19.8;30.1;28.2;21.3;19.3;64;54;59;223;4.8;2.1;1704211200.0
